Epoch,Train Loss,Test Loss
1,40.4061855734611,16.717413382096723
2,7.899256618655458,7.4647573557767
3,6.230907586156105,6.722061894156716
4,5.118320525908957,5.019746346907183
5,4.729968236417187,5.525238600644198
6,4.555768606614094,6.484167792580345
7,4.310108566770748,5.305495652285489
8,4.058287596216007,5.126314249905673
9,3.9963601389709784,4.050289045680653
10,3.976219887636146,3.6994822892275723
11,3.7238396819756954,3.6916536417874424
12,3.5161741436744225,3.399596084247936
13,3.756902835807022,3.5456371307373047
14,3.145804057315904,2.729946504939686
15,2.823509620160473,2.9537038803100586
16,2.7110675938275395,2.5023281357505103
17,2.4451763240658506,2.4760756492614746
18,2.3640395889476853,3.2781121730804443
19,2.310254303776488,2.2601796713742344
20,2.3495889816965376,2.81936053796248
21,2.2875793150493076,3.332606228915128
22,2.1354874080541184,3.06233210997148
23,2.057441487604258,2.0638802485032515
24,2.134894534033172,2.2815516862002285
25,2.1845532899000206,3.5057063536210493
26,2.040618447624907,2.4108135483481665
27,1.899535093988691,2.5957389311356978
28,1.943958460068216,2.0871856862848457
29,1.9153682905800489,3.511170127175071
30,1.8709992863694016,3.4269218011335894
31,1.860932544786103,2.2761697335676714
32,1.8281225428289296,2.094429460438815
33,1.7530839783804757,2.0669314969669688
34,1.7959068685161823,2.745211796327071
35,1.6880463519874884,2.2491836981339888
36,1.647506901196071,2.11165207082575
37,1.6397427819213088,2.9752916639501397
38,1.5983353512627738,1.561589316888289
39,1.6644837868456939,1.4895102761008523
40,1.6031528042287242,1.6198577664115212
41,1.6503597777716967,1.5682102225043557
42,1.4984283033682375,1.6320411183617332
43,1.488522091690375,2.1259971423582598
44,1.4615762817616365,1.7755818583748557
45,1.5648421085610682,1.711554397236217
46,1.4189737457401899,1.9685877236452969
47,1.3317018777740246,2.5032196911898525
48,1.4103627667135121,1.6356349966742776
49,1.416357855407559,1.789789459922097
50,1.3695404468750467,1.92477379061959
51,1.3449901293735116,1.6811360012401233
52,1.3535457958980484,1.375742034478621
53,1.3871429653800265,2.6370731700550425
54,1.3542456845847928,1.4469848979603162
55,1.3338443168572016,1.6031799099662087
56,1.306493661233357,1.4776279492811724
57,1.3022122857521992,1.6287482326680964
58,1.2662084729087597,1.5208666107871316
59,1.3309502291436097,1.8431164784864946
60,1.3213991607938493,2.2262159911069004
61,1.3187304704773182,1.842166781425476
62,1.2648949045307782,1.584192308512601
63,1.2133986147082583,1.981574080207131
64,1.2942995204001058,1.9125902869484641
65,1.321439923072348,1.6211605938998135
66,1.2598066117082323,1.5498243136839434
67,1.304340839994197,1.4580181620337747
68,1.2196757160887426,1.4090107679367065
69,1.142269335839213,1.4051816896958784
70,1.1230647442292194,1.385011911392212
